clockticks,wolves,moose,squirrels,wolf_births,wolf_starved,wolf_old_age,moose_eaten,moose_births,moose_starved,moose_old_age,squirrels_born,squirrels_eaten,squirrels_starved,squirrels_old_age,vegetation_fraction
189.0,0.0,22525.0,762.0,0.0,0.0,0.0,0.0,447.0,424.0,0.0,28.0,14.0,25.0,0.0,32.67
190.0,0.0,22486.0,758.0,0.0,0.0,0.0,0.0,383.0,422.0,0.0,29.0,11.0,22.0,0.0,32.62
191.0,0.0,22415.0,741.0,0.0,0.0,0.0,0.0,382.0,451.0,2.0,19.0,7.0,29.0,0.0,32.63
192.0,0.0,22311.0,733.0,0.0,0.0,0.0,0.0,346.0,449.0,1.0,29.0,18.0,19.0,0.0,32.61
193.0,0.0,22221.0,720.0,0.0,0.0,0.0,0.0,367.0,454.0,3.0,27.0,6.0,34.0,0.0,32.61
194.0,0.0,22143.0,702.0,0.0,0.0,0.0,0.0,354.0,432.0,0.0,23.0,18.0,23.0,0.0,32.58
195.0,0.0,22069.0,692.0,0.0,0.0,0.0,0.0,371.0,444.0,1.0,25.0,10.0,25.0,0.0,32.55
196.0,0.0,21935.0,684.0,0.0,0.0,0.0,0.0,354.0,487.0,1.0,21.0,4.0,25.0,0.0,32.52
197.0,0.0,21839.0,680.0,0.0,0.0,0.0,0.0,337.0,432.0,1.0,28.0,9.0,23.0,0.0,32.55
198.0,0.0,21726.0,653.0,0.0,0.0,0.0,0.0,337.0,449.0,1.0,15.0,14.0,28.0,0.0,32.54
199.0,0.0,21621.0,650.0,0.0,0.0,0.0,0.0,324.0,428.0,1.0,27.0,13.0,17.0,0.0,32.52
200.0,0.0,21552.0,652.0,0.0,0.0,0.0,0.0,354.0,420.0,3.0,27.0,8.0,17.0,0.0,32.53
201.0,0.0,21454.0,638.0,0.0,0.0,0.0,0.0,351.0,448.0,1.0,20.0,9.0,25.0,0.0,32.51
202.0,0.0,21438.0,621.0,0.0,0.0,0.0,0.0,424.0,438.0,2.0,16.0,14.0,19.0,0.0,32.52
203.0,0.0,21400.0,606.0,0.0,0.0,0.0,0.0,412.0,447.0,3.0,23.0,12.0,26.0,0.0,32.51
